,time,token,market_caps,prices,total_volumes
0,2/2/2018,aidcoin,0,0.478709613,530465.8508
1,2/3/2018,aidcoin,0,0.408739539,922200.4154
2,2/4/2018,aidcoin,0,0.411371433,253625.2846
3,2/5/2018,aidcoin,0,0.35217843,344332.3266
4,2/6/2018,aidcoin,0,0.250005012,359716.8728
5,2/7/2018,aidcoin,0,0.25074471,817348.1825
6,2/8/2018,aidcoin,0,0.259624227,391109.3436
7,2/9/2018,aidcoin,0,0.268298309,467389.9145
8,2/10/2018,aidcoin,0,0.285756092,396704.1644
9,2/11/2018,aidcoin,0,0.279738759,307453.1073
10,2/12/2018,aidcoin,0,0.275350376,346043.976
11,2/13/2018,aidcoin,0,0.314868074,477066.5974
12,2/14/2018,aidcoin,0,0.296257262,328616.907
13,2/15/2018,aidcoin,0,0.316544371,241309.6215
14,2/16/2018,aidcoin,0,0.330797374,592975.5973
15,2/17/2018,aidcoin,0,0.370290873,528860.0575
16,2/18/2018,aidcoin,0,0.397161279,583144.7288
17,2/19/2018,aidcoin,0,0.361009956,342719.1283
18,2/20/2018,aidcoin,0,0.358929453,566079.5817
19,2/21/2018,aidcoin,11830128.73,0.354057918,165473.9147
20,2/22/2018,aidcoin,8773866.534,0.262588598,343973.7683
21,2/23/2018,aidcoin,8443067.213,0.252688273,313648.9829
22,2/24/2018,aidcoin,9517137.087,0.284833565,552348.6675
23,2/25/2018,aidcoin,9297005.604,0.278245362,402954.1232
24,2/26/2018,aidcoin,9482465.362,0.283795893,1181238.051
25,2/27/2018,aidcoin,10892137.6,0.325985258,866381.8301
26,2/28/2018,aidcoin,10640932.61,0.318467071,1176257.91
27,3/1/2018,aidcoin,9831146.976,0.294231408,1358210.403
28,3/2/2018,aidcoin,9907577.497,0.296518858,541987.8353
29,3/3/2018,aidcoin,9870557.281,0.295410899,645355.2355
30,3/4/2018,aidcoin,9900467.687,0.296306072,427488.4867
31,3/5/2018,aidcoin,10066567.49,0.301277189,191962.0951
32,3/6/2018,aidcoin,9898812.537,0.296256536,581206.6185
33,3/7/2018,aidcoin,9022617.536,0.270033341,398554.045
34,3/8/2018,aidcoin,8383032.307,0.250891519,321604.9148
35,3/9/2018,aidcoin,7431318.12,0.222408068,341393.4389
36,3/10/2018,aidcoin,7700725.082,0.23047101,264936.6835
37,3/11/2018,aidcoin,7489930.308,0.224162242,137726.627
38,3/12/2018,aidcoin,7635902.383,0.228530965,209422.0445
39,3/13/2018,aidcoin,7463182.373,0.222993321,88183.40483
40,3/14/2018,aidcoin,7411286.952,0.22221826,57940.71927
41,3/15/2018,aidcoin,6659370.355,0.199672972,92750.20653
42,3/16/2018,aidcoin,6424990.817,0.192645392,312057.9305
43,3/17/2018,aidcoin,6255796.921,0.187572322,315804.1968
44,3/18/2018,aidcoin,6253169.147,0.187493532,264801.4756
45,3/19/2018,aidcoin,6256322.159,0.187588071,512667.4302
46,3/20/2018,aidcoin,6237750.089,0.18703121,292606.5967
