Name,Token,Sector,Index
Aidcoin,AIDOC,Charity/Charity and Sustainability,Sustainability Index
Decred,DCR,Financial Transaction Cryptocurrency/Sustainability,Sustainability Index
EcoBit,ECOB,Carbon Credit Trading/Sustainability/Sustainability,Sustainability Index
energi-token,ETK,Energy,Sustainability Index
Power-Ledger,POWR,Energy Trading,Sustainability Index
restart-energy,MWAT,Energy Trading,Sustainability Index
faircoin,FAIR,Sustainability,Sustainability Index
Wepower,WPR,Energy Trading,Sustainability Index
bloom,BLT,Credit/Finance,Anti Poverty Index
Credits,CS,Application Platform/Finance,Anti Poverty Index
Electroneum,ETN,Financial Transaction Cryptocurrency/Finance,Anti Poverty Index
Everex,EVX,Money Transfers and Microfinance/Finance,Anti Poverty Index
kora-network,KNT,Exchange Based Coin/Finance,Anti Poverty Index
moeda-loyalty-points,MDA,Finance,Anti Poverty Index
Omisego,OMG,Finance,Anti Poverty Index
ripio-credit-network,RCN,Finance,Anti Poverty Index
Stellar,XLM,Finance,Anti Poverty Index
swarm-city,SWT,Finance,Anti Poverty Index
Modum,MOD,Supply Chain,Supply Chain Index
Te-Food,TFD,Supply Chain,Supply Chain Index
vechain,VET,Supply Chain,Supply Chain Index
Decent,DCT,Art and Media,Art and Media Index
Gifto,GTO,Content Publishing/Art and Media,Art and Media Index
poet,POE,Art and Media,Art and Media Index
Dock,DOCK,Technology,Technology Index
experty,EXY,Expert Network/Knowledge Sharing/Technology,Technology Index
holotoken,HOT,Application Platform Cryptocurrency/Internet,Technology Index
maidsafecoin,MAID,Application Platform Cryptocurrency/Internet,Technology Index
Mysterium,MYST,Internet,Technology Index
Substratum,SUB,Internet,Technology Index
